"Rank","Title","English Title","URL","Image URL","Score","Users Rated","Episodes","Genres","Studios","Synopsis","Popularity","Ranked"
"868","Drifters","","https://myanimelist.net/anime/31339/Drifters","https://cdn.myanimelist.net/r/50x70/images/anime/10/80271.jpg?s=06bada5950d5c2f50d6dcd85c13a5fb1","7.88","282878","12","Action, Adventure, Comedy, Fantasy, Adult Cast, Gore, Historical, Isekai, Military, Samurai, Seinen","Hoods Entertainment","At the Battle of Sekigahara in 1600, Toyohisa Shimazu is the rearguard for his retreating troops, and is critically wounded when he suddenly finds himself in a modern, gleaming white hallway. Faced with only a stoic man named Murasaki and hundreds of doors on both sides, Toyohisa is pulled into the nearest door and into a world completely unlike his own.   The strange land is populated by all manner of fantastical creatures, as well as warriors from different eras of Toyohisa's world who were thought to be dead. Quickly befriending the infamous warlord Nobunaga Oda and the ancient archer Yoichi Suketaka Nasu, Toyohisa learns of the political unrest tearing through the continent. Furthermore, they have been summoned as ""Drifters"" to fight against the ""Ends,"" people who are responsible for the creation of the Orte Empire and are trying to annihilate the Drifters. As the Ends grow more powerful, so does the Empire's persecution of elves and other demihumans. It is up to Toyohisa and his group of unconventional heroes to battle in a brand-new world war to help the Empire's subjects, while challenging the Ends protecting the land to claim it for themselves.   [Written by MAL Rewrite]","#391","#868"
"869","Free! Eternal Summer: Kindan no All Hard!","","https://myanimelist.net/anime/26213/Free_Eternal_Summer__Kindan_no_All_Hard","https://cdn.myanimelist.net/r/50x70/images/anime/6/73125.jpg?s=e2d20e0cb2b77041ad06482b6144e658","7.88","46596","1","Comedy, School","Kyoto Animation, Animation Do","Unaired episode included with volume 7 of the Blu-ray/DVD.","#2290","#869"
"870","Golden Kamuy","","https://myanimelist.net/anime/36028/Golden_Kamuy","https://cdn.myanimelist.net/r/50x70/images/anime/1145/90880.jpg?s=251d39fd8934a474c1baabb7cc44d998","7.88","174286","12","Action, Adventure, Adult Cast, Historical, Military, Seinen","Geno Studio","In early 1900s Hokkaido after the Russo-Japanese war, Saichi Sugimoto tirelessly pans for gold. Nicknamed ""Sugimoto the Immortal"" for his death-defying acts in battle, the ex-soldier seeks fortune in order to fulfill a promise made to his best friend before he was killed in action: to support his family, especially his widow who needs treatment overseas for her deteriorating eyesight. One day, a drunken companion tells Sugimoto the tale of a man who murdered a group of Ainu and stole a fortune in gold. Before his arrest by the police, he hid the gold somewhere in Hokkaido. The only clue to its location is the coded map he tattooed on the bodies of his cellmates in exchange for a share of the treasure, should they manage to escape and find it.   Sugimoto does not think much of the tale until he discovers the drunken man's corpse bearing the same tattoos described in the story. But before he can collect his thoughts, a grizzly bear—the cause of the man's demise—approaches Sugimoto, intent on finishing her meal. He is saved by a young Ainu girl named Asirpa, whose father happened to be one of the murdered Ainu. With Asirpa's hunting skills and Sugimoto's survival instincts, the pair agree to join forces and find the hidden treasure—one to get back what was rightfully her people's, and the other to fulfill his friend's dying wish.   [Written by MAL Rewrite]","#585","#870"
"871","Hoozuki no Reitetsu 2nd Season","Hozuki's Coolheadedness 2","https://myanimelist.net/anime/35075/Hoozuki_no_Reitetsu_2nd_Season","https://cdn.myanimelist.net/r/50x70/images/anime/8/88280.jpg?s=19174b705005388fce482960baf56fe1","7.88","19847","13","Comedy, Fantasy, Mythology, Seinen","Studio Deen","Just as in this life, the afterlife needs a calm troubleshooter to deal with the bureaucratic headaches that come from keeping things in order. Enter Hozuki: a cool and collected demon who’s badly in need of a vacation.   (Source: HIDIVE)","#3357","#871"
"872","Ie Naki Ko","Nobody's Boy Remi","https://myanimelist.net/anime/2828/Ie_Naki_Ko","https://cdn.myanimelist.net/r/50x70/images/anime/9/76757.jpg?s=f44be067a879cd7f2de9cb4dc6c9bc42","7.88","5599","51","Adventure, Drama, Historical, Kids","Madhouse, TMS Entertainment","Remi is a boy living happily with his mother in the French countryside. But everything changes when his estranged father comes home and, in desperate need of money, reveals that Remi is adopted, and sells him. Heartbroken, Remi ends up with Vitalis, a traveling musician, and his troupe of animal entertainers. Together, they travel the country in search for Remi's real parents, along the way learning the harsh lessons of life. A deeply moving story about friendship, loss and the pursuit of happiness.    (Source: AniDB)","#5437","#872"
"873","Love Live! Superstar!! 3rd Season","Love Live! Superstar!! Season 3","https://myanimelist.net/anime/53287/Love_Live_Superstar_3rd_Season","https://cdn.myanimelist.net/r/50x70/images/anime/1489/144640.jpg?s=53d7dd8b04aeba9a29f8c90c94011308","7.88","6080","12","Slice of Life, Idols (Female), Music, School","Sunrise","As the Love Live! Competition draws to a close, Kanon Shibuya takes an offer to study abroad and bids farewell to her friends and fellow members of the school idol group Liella!. Although they will live on opposite sides of the world, both Kanon and the group remain motivated to continue their idol activities.   Unbeknownst to Kanon, however, her plans are cut short by Wien Margarete's parents, who request that Kanon remain in Japan for another year so that their daughter can learn from her. While Kanon finds herself in awkward limbo, Wien cannot bring herself to join her once fierce rival Liella! and decides to start a group of her own.   Not wanting Wien's determination to go to waste, Kanon joins the new group, recruiting her former group member's sister Tomari Onitsuka in the process. As the newfound unit strives to wash off Wien's controversial past, the new Liella! is also wrestling with the struggles of losing their irreplaceable center.   [Written by MAL Rewrite]","#5284","#873"
"874","Macross","","https://myanimelist.net/anime/1088/Macross","https://cdn.myanimelist.net/r/50x70/images/anime/1553/137717.jpg?s=53f31ba3d944bec94594042626909d36","7.88","38371","36","Action, Romance, Sci-Fi, Mecha, Military, Music, Space","Tatsunoko Production","After a mysterious spaceship crashes into Earth, humanity realizes that they are not alone. Fearing a potential threat from space, the world pushes aside their nationalism, conflicting interests, and cultural differences, unifying under the banner of the United Nations. The newly formed UN forces decide to repurpose the alien spacecraft, naming it SDF-1 Macross. Unfortunately, on the day of its maiden voyage, a fleet of spaceships belonging to a race of aliens known as the Zentradi descend upon Earth, and the SDF-1 Macross, acting of its own accord, shoots down the incoming squadron, sparking an intergalactic war.   In an attempt to escape, the Macross tries to launch itself into the Moon's orbit, but the ship—as well as the city it was in—is teleported to the far reaches of space. Caught up in this mess are Hikaru Ichijou, a free-spirited acrobatic pilot, and Minmay Lynn, an aspiring singer. These two, alongside Macross' crew, experience an epic journey rife with grief and drama, coming face-to-face with the cruelties of war along the way.   [Written by MAL Rewrite]","#2006","#874"
"875","Macross F","Macross Frontier","https://myanimelist.net/anime/3572/Macross_F","https://cdn.myanimelist.net/r/50x70/images/anime/9/15648.jpg?s=fb7dc2642ec87bd92e20e8320fd353f6","7.88","68454","25","Action, Award Winning, Romance, Sci-Fi, Mecha, Military, Music, Space","Satelight","Following a catastrophic war against a race of giants known as the Zentradi, humanity has escaped towards the center of the galaxy aboard a fleet of colonial vessels called the Macross Frontier. As the extraterrestrial threat is left further and further behind, life on Macross Frontier proceeds as usual.   In the year 2059, a young mecha pilot trainee named Alto Saotome and his colleagues are preparing to perform an accompanying routine for the famous singer Sheryl Nome, who has come to Macross Frontier for a concert. During the performance, a biomechanical alien species known as the Vajra make a sudden appearance, breaking through the defensive perimeter surrounding the vessel and crash-landing near the concert venue, plunging the entire city into chaos. As the concertgoers evacuate, a young girl named Ranka Lee is left behind and gets targeted by the Vajra, but she is saved at the last minute by Alto. Following these events, the Strategic Military Services program notes Alto's skill in battle, resulting in his recruitment to combat the new alien threat.   [Written by MAL Rewrite]","#1643","#875"
"876","Megalo Box","","https://myanimelist.net/anime/36563/Megalo_Box","https://cdn.myanimelist.net/r/50x70/images/anime/1958/93533.jpg?s=1a4e92d827950683698883d4d8164e7c","7.88","279547","13","Sci-Fi, Sports, Adult Cast, Combat Sports","TMS Entertainment","""To be quiet and do as you're told, that's the cowardly choice."" These are the words of Junk Dog, an underground fighter of Megalo Box, an evolution of boxing that utilizes mechanical limbs known as Gear to enhance the speed and power of its users. Despite the young man's brimming potential as a boxer, the illegal nature of his participation forces him to make a living off of throwing matches as dictated by his boss Gansaku Nanbu. However, this all changes when the Megalo Box champion Yuuri enters his shabby ring under the guise of just another challenger. Taken out in a single round, Junk Dog is left with a challenge: ""If you're serious about fighting me again, then fight your way up to me and my ring.""   Filled with overwhelming excitement and backed by the criminal syndicate responsible for his thrown matches, Junk Dog enters Megalonia: a world-spanning tournament that will decide the strongest Megalo Boxer of them all. Having no name of his own, he takes on the moniker of ""Joe"" as he begins his climb from the very bottom of the ranked list of fighters. With only three months left to qualify, Joe must face off against opponents the likes of which he has never fought in order to meet the challenge of his rival.   [Written by MAL Rewrite]","#451","#876"
"877","Meitantei Conan Movie 02: 14-banme no Target","Case Closed Movie 02: The Fourteenth Target","https://myanimelist.net/anime/780/Meitantei_Conan_Movie_02__14-banme_no_Target","https://cdn.myanimelist.net/r/50x70/images/anime/1900/94316.jpg?s=9635e521b8f784023687b8150eb65d3f","7.88","40878","1","Adventure, Comedy, Mystery, Detective, Shounen","TMS Entertainment","A mysterious attacker has appeared and is assaulting people whose names contain a number from the standard deck of cards in descending order. When Conan Edogawa points out that all the victims are related to the now famous detective Kogorou Mouri, suspicion immediately falls upon the recently released convict Jou Murakami, as Kogorou was the one responsible for his arrest ten years prior.   With potential victims still at risk, Conan and the police are determined to catch the culprit. As the case gradually unfolds, both Conan and his friend Ran Mouri learn more about her parents' separation and the truth on what transpired a decade ago.   [Written by MAL Rewrite]","#2849","#877"
"878","Osomatsu-san Movie","Mr. Osomatsu the Movie","https://myanimelist.net/anime/38201/Osomatsu-san_Movie","https://cdn.myanimelist.net/r/50x70/images/anime/1492/113860.jpg?s=53de22c1fa9fb5bb7e4065a8e0a1e769","7.88","6690","1","Comedy, Gag Humor, Parody","Pierrot","After an embarrassing high school class reunion with their successful classmates, who have ""proper"" jobs, relationships, and even children, the Matsuno sextuplets return home to sulk about their status as NEETs. They spend the night drinking away their sorrows, eventually falling unconscious, until they awaken in a strange world of memories, centered around one of the brothers' biggest high school regret.   As the sextuplets navigate this memory world, they encounter their embarrassing past selves from high school, as well as those of their friends. All the while, they try to uncover whose regret was great enough to trap them in this strange world, so that they can make their way back to reality. However, they're running out of time; this world of memories is unstable, and the sextuplets may lose their chance to make things right if they're too slow....","#5622","#878"
"879","Jigoku Shoujo Futakomori","Hell Girl: Two Mirrors","https://myanimelist.net/anime/1594/Jigoku_Shoujo_Futakomori","https://cdn.myanimelist.net/r/50x70/images/anime/5/86975.jpg?s=0a2b98e1e103a08a610cd05deb51886b","7.87","69804","26","Horror, Mystery, Supernatural, Suspense, Psychological","Studio Deen","Ai Enma and her companions continue to offer their service of revenge against those who have wronged others, and the price is as steep as ever—for damning the offender to hell, the person exacting vengeance is sent to the abyss as well. As they cast soul after soul into the darkness, a new sinister force is watching them: a little girl named Kikuri.   While Ai continues her duties, she meets a boy named Takuma Kurebayashi, known as the ""Devil's Child"" because of the horrific events that occur around him. Unfortunately, Takuma's reputation leads the townspeople to use him as a scapegoat for those who have been ferried off to hell. When things quickly spiral out of control, Ai must find a way to bring an end to this senseless violence, as it poses a threat to her very existence.   [Written by MAL Rewrite]","#1525","#879"
"880","JoJo no Kimyou na Bouken (TV)","JoJo's Bizarre Adventure (2012)","https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV","https://cdn.myanimelist.net/r/50x70/images/anime/3/40409.jpg?s=eade1f76434383f5af5243cc52d50316","7.87","1127134","26","Action, Adventure, Supernatural, Historical, Vampire, Shounen","David Production","The year is 1868; English nobleman George Joestar and his son Jonathan become indebted to Dario Brando after being rescued from a carriage incident. What the Joestars don't realize, however, is that Dario had no intention of helping them; he believed they were dead and was trying to ransack their belongings. After Dario's death 12 years later, George—hoping to repay his debt—adopts his son, Dio.    While he publicly fawns over his new father, Dio secretly plans to steal the Joestar fortune. His first step is to create a divide between George and Jonathan. By constantly outdoing his foster brother, Dio firmly makes his place in the Joestar family. But when Dio pushes Jonathan too far, Jonathan defeats him in a brawl.    Years later, the two appear to be close friends to the outside world. But trouble brews again when George falls ill, as Jonathan suspects that Dio is somehow behind the incident—and it appears he has more tricks up his sleeve.   [Written by MAL Rewrite]","#58","#880"
"881","Kidou Senshi Gundam: Suisei no Majo - Prologue","Mobile Suit Gundam: The Witch from Mercury - Prologue","https://myanimelist.net/anime/52168/Kidou_Senshi_Gundam__Suisei_no_Majo_-_Prologue","https://cdn.myanimelist.net/r/50x70/images/anime/1870/124666.jpg?s=b35049faa4a9aa69dc968199365a96b4","7.87","33514","1","Action, Sci-Fi, Mecha, Space","Sunrise","On the planet Mercury, the advanced technology of cybernetic prostheses has led to the development of giant pilotable robots. However, prolonged use of these achievements in bioengineering takes a significant toll on a pilot's body. As the Merucians' mobile suits gain formidable power, fear rises among the people of Earth.   On her daughter Ericht's fourth birthday, pilot Elnora Samaya tests the state-of-the-art Gundam Lfrith under the watchful eye of its creator, Cardo Nabo. Ericht visits Elnora at work despite orders not to, and chaos unfolds after she forms a strange bond with her mother's mecha.   [Written by MAL Rewrite]","#3280","#881"
"882","New Initial D Movie: Legend 3 - Mugen","Initial D Legend 3: Dream","https://myanimelist.net/anime/30952/New_Initial_D_Movie__Legend_3_-_Mugen","https://cdn.myanimelist.net/r/50x70/images/anime/9/76759.jpg?s=30fe1417359b19027db67dc29eccd0d2","7.87","14099","1","Racing, Seinen","SANZIGEN, LIDENFILMS","After spending his summer racing against some of the best racers in Gunma, Takumi Fujiwara receives a formal challenge from the leader of the Akagi Red Suns, Ryousuke Takahashi. Despite his initial reluctance to get into the hobby, Takumi cannot help but feel excited to go up against the former ""White Comet of Akagi."" In preparation for the battle, Ryousuke downgrades his car, putting his pride and racing career at stake.    With the title of the fastest racer in all of Gunma on the line, will Takumi and his panda-colored Toyota AE86 be able to defeat Ryousuke's Mazda RX-7 FC?    [Written by MAL Rewrite]","#4303","#882"
"883","Non Non Biyori Repeat: Hotaru ga Tanoshinda","Non Non Biyori Repeat: Hotaru Had Fun","https://myanimelist.net/anime/32547/Non_Non_Biyori_Repeat__Hotaru_ga_Tanoshinda","https://cdn.myanimelist.net/r/50x70/images/anime/13/78136.jpg?s=db8ff808a41d73e6ff043f98fa3bcdb0","7.87","26196","1","Slice of Life, CGDCT, Iyashikei, School, Seinen","SILVER LINK.","Life in rural Asahigaoka moves at its own pace. Devoid of the pleasures and worries of a bustling metropolis, this small village might seem painfully dull at first glance. However, despite living this far from her hometown of Tokyo, Hotaru Ichijou manages to find a group of friends whom she can spend quality time with. No matter whether it is winter, spring, summer, or fall, they make full use of everything the nature around them has to offer.   [Written by MAL Rewrite]","#3265","#883"
"884","One Piece Film: Gold","","https://myanimelist.net/anime/31490/One_Piece_Film__Gold","https://cdn.myanimelist.net/r/50x70/images/anime/1081/137690.jpg?s=9247daac83c0779b2496efd18fe4f4a0","7.87","141216","1","Action, Adventure, Fantasy, Shounen","Toei Animation","Monkey D. Luffy and his Straw Hat Crew have finally arrived on Gran Tesoro, a ship carrying the largest entertainment city in the world. Drawn in by the chances of hitting the jackpot, the crew immediately head to the casino. There, they quickly find themselves on a winning streak, playing with what seems to be endless luck.   When offered a special gamble by Gild Tesoro—the master of the city himself—the crew agrees, choosing to believe in their captain's luck. However, when they find themselves victims of a despicable scam, the crew quickly realize that there is something darker happening beneath the city's surface.   Left penniless and beaten down, the Straw Hat Crew are forced to rely on another gamble of a plan. With the help of a new friend or two, the group must work to reclaim what they've lost before time, and what remains of their luck, runs out.   [Written by MAL Rewrite]","#1111","#884"
"885","Ookiku Furikabutte","Big Windup!","https://myanimelist.net/anime/2159/Ookiku_Furikabutte","https://cdn.myanimelist.net/r/50x70/images/anime/2/20751.jpg?s=bb331d6bda26ca019856cf9c9fbd70af","7.87","42167","25","Sports, Team Sports, Seinen","A-1 Pictures","Ren Mihashi was the ace of his middle school's baseball team, but due to his poor pitching, they could never win. Constant losses eventually lead to his teammates bullying him and reached the point where his teammates no longer tried to win, causing Mihashi to graduate with little self-esteem. As a result, Mihashi decides to go to a high school in a different prefecture where he has no intention of playing baseball. Unfortunately, upon his arrival at Nishiura High, he is dragged into joining their new team as the starting pitcher.   Although unwilling at first, Mihashi realizes that this is a place where he will be accepted for who he is; with help from the catcher Takaya Abe, he starts to have more confidence in his own abilities. Abe, seeing the potential in Mihashi, makes it a goal to help him become a pitcher worthy of being called an ace.   [Written by MAL Rewrite]","#2182","#885"
"886","Paradise Kiss","","https://myanimelist.net/anime/322/Paradise_Kiss","https://cdn.myanimelist.net/r/50x70/images/anime/7/80636.jpg?s=95b55301ab414c153bc867c39a6fa925","7.87","104234","12","Drama, Romance, School, Visual Arts, Josei","Madhouse","On her way home from school, Yukari Hayasaka is approached by a weird-looking guy who starts looking at her body intently. He's got blond spiky hair, a spiked choker, and multiple piercings on his ears and face. She wants nothing to do with him, and runs away, only to bump into a very tall and beautiful purple-haired woman with a flower pattern around her eye. Yukari faints from shock and wakes up later in a strange place called the Atelier. It turns out that these strangers are fashion designers who attend the most famous art school around, Yazawa Art Academy, and their group wants Yukari to model for their brand in Yazawa Academy's upcoming show.   Yukari turns down their offer and escapes the Atelier, but unknowingly leaves her school ID behind. George Koizumi, the head designer, later sees it and immediately knows she would be the perfect model for them and will not stop until he gets what he wants—and he wants her. Yukari had never considered something as frivolous as modeling before, but could life among these eccentric designers actually prove to be fun? Or will Yukari lose herself in this world of art and passion?   [Written by MAL Rewrite]","#1076","#886"
"887","Saiunkoku Monogatari","The Story of Saiunkoku","https://myanimelist.net/anime/957/Saiunkoku_Monogatari","https://cdn.myanimelist.net/r/50x70/images/anime/1976/139963.jpg?s=ad20dd6c12851be5609e24cc33b68847","7.87","36198","39","Adventure, Fantasy, Romance, Historical, Reverse Harem, Shoujo","Madhouse","Shuurei Kou, the daughter of a noble yet impoverished family, is a clever young lady who dreams of becoming a government official and contributing toward her country. However, her dream is out of her reach as such a position is forbidden to women. While her father works a low wage job as an archivist at the palace, Shuurei has to juggle odd jobs to make ends meet. Then, one day, an unexpected visit changes her life.    Shuurei is called to assist Ryuuki Shi, the new emperor who is known for slacking on his duties and preferring the company of men. Tempted by the generous compensation, she readily accepts the chance to become the young emperor's consort for six months. Luckily, she is not alone as Seiran Shi, her trusty friend, joins her as Ryuuki's bodyguard. While tasked with transforming the new emperor into a responsible ruler, court life and politics prove troublesome as Shuurei faces the challenges of her new life.   Set in a fictional country, Saiunkoku Monogatari centers on the idea of meaningful leadership, its adversities and the rewards that come alongside a prospering nation.   [Written by MAL Rewrite]","#2215","#887"
"888","Shijou Saikyou no Deshi Kenichi OVA","KenIchi: The Mightiest Disciple OVA","https://myanimelist.net/anime/11813/Shijou_Saikyou_no_Deshi_Kenichi_OVA","https://cdn.myanimelist.net/r/50x70/images/anime/1125/102421.jpg?s=f217373ffa115124134ba6c372cbf686","7.87","29726","11","Action, Comedy, Martial Arts, School, Shounen","Brain's Base","OVAs of History's Strongest Disciple Kenichi bundled with volumes 46, 47, 49, 53, 54, 55, & 56 of the manga.","#3027","#888"
"889","Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal","The Prince of Tennis: The National Tournament Semifinals","https://myanimelist.net/anime/2752/Tennis_no_Oujisama__Zenkoku_Taikai-hen_-_Semifinal","https://cdn.myanimelist.net/r/50x70/images/anime/1640/133533.jpg?s=d697ca0cf02396db7625ccdb750dd4fe","7.87","21310","6","Sports, Shounen","M.S.C","The National Tournament continues for Ryouma Echizen and the Seishun Academy Boys' Tennis Team as they face off against last year's semifinalist, Shitenhouji Middle School. As winners of the Kansai Regionals, Shitenhouji is one of the top contenders to win this year's tournament. What's more, each member of the Shitenhouji team has skills that are said to surpass their Seishun counterparts. Shitenhouji also has Kintarou Tooyama, another ""super rookie"" who rivals Ryouma in strength and technique. Seishun will have to push the limits of their abilities to stand a chance at defeating the Kansai champions in this East versus West matchup.   [Written by MAL Rewrite]","#3837","#889"
"890","Tokyo Revengers","","https://myanimelist.net/anime/42249/Tokyo_Revengers","https://cdn.myanimelist.net/r/50x70/images/anime/1839/122012.jpg?s=3f4fbb0421092f79d87a44a555656745","7.87","734597","24","Action, Drama, Delinquents, Time Travel, Shounen","LIDENFILMS","Takemichi Hanagaki's second year of middle school was the highest point in his life. He had respect, a gang of friends he could count on, and even a girlfriend. But that was twelve years ago. Today, he's a nobody: a washed-up nonentity made fun of by children and always forced to apologize to his younger boss. A sudden news report on the Tokyo Manji Gang's cruel murder of the only girlfriend he ever had alongside her brother only adds insult to injury. Half a second before a train ends his pitiful life for good, Takemichi flashes back to that same day 12 years ago, when he was still dating Hinata Tachibana.   After being forced to relive the very same day that began his downward spiral, Takemichi meets Hinata's younger brother. Without thinking, he admits to his seeming death before flashing back to the past. Takemichi urges him to protect his sister before inexplicably returning to the future. Miraculously, he is not dead. Stranger still, the future has changed. It seems as though Takemichi can alter the flow of time. Given the chance to prevent his ex-girlfriend's tragic death at the hands of the Tokyo Manji Gang, Takemichi decides to fly through time to change the course of the future.   [Written by MAL Rewrite]","#105","#890"
"891","Wu Dong Qian Kun 3rd Season","Martial Universe 3rd Season","https://myanimelist.net/anime/49570/Wu_Dong_Qian_Kun_3rd_Season","https://cdn.myanimelist.net/r/50x70/images/anime/1282/123462.jpg?s=fcc57ea26b63232c3a6f0ce90df3062c","7.87","1781","12","Action, Adventure, Fantasy, Historical, Martial Arts","DC Impression Vision","Lin Dong continues his journey to find the ancient relic and make himself stronger so that his family can enter the main one. He also becomes stronger so that Ling Qingzhu approves him and they can get together.","#9187","#891"
"892","Berserk: Ougon Jidai-hen II - Doldrey Kouryaku","Berserk: The Golden Age Arc II - The Battle for Doldrey","https://myanimelist.net/anime/12113/Berserk__Ougon_Jidai-hen_II_-_Doldrey_Kouryaku","https://cdn.myanimelist.net/r/50x70/images/anime/12/37193.jpg?s=c2f550a1ee984cec1677389e3cfc4023","7.87","143442","1","Action, Adventure, Drama, Fantasy, Horror, Gore, Military, Psychological, Seinen","Studio 4°C","The Band of the Hawk and their enigmatic leader Griffith continue winning battle after battle as their prestige throughout the kingdom of Midland grows. But their latest task is one that has seen failure from everyone who has attempted it: the subjugation of the impenetrable fortress of Doldrey.    But with members like Guts—the captain of the Hawks' raiders who can easily fell 100 men with his gigantic sword—such tasks prove to be trivial. However, in the aftermath of the battle, Guts decides to leave the Hawks in order to pursue his own dream and bids farewell to his companions, despite Griffith's attempts to make him stay. This single event causes Griffith to lose his composure, and leads him to make a decision that will alter his and the Hawks' fates forever.   [Written by MAL Rewrite]","#1171","#892"
"893","Carnival Phantasm","","https://myanimelist.net/anime/10012/Carnival_Phantasm","https://cdn.myanimelist.net/r/50x70/images/anime/1018/92921.jpg?s=d1d88b60d5367577c92c08ea60c964da","7.87","99497","12","Comedy, Supernatural, Parody","Lerche","The Carnival Moment is a time when several narratives from Type-Moon's famous works intersect. It happens every decade in an entirely new dimension, and those who have never run into each other can meet. And what's more, all individuals involved gain the opportunity to fulfill any of their wishes! However, they will have to come a long way, as they will need to partake in contests.   In Carnival Phantasm, various characters are put into situations that ridicule their own worlds. Nevertheless, they all have the same objective: to win the contests by any means necessary!   [Written by MAL Rewrite]","#1264","#893"
"894","Death Billiards","","https://myanimelist.net/anime/14353/Death_Billiards","https://cdn.myanimelist.net/r/50x70/images/anime/11/48721.jpg?s=4728f1efeabefb313634e64ac91f514b","7.87","140502","1","Drama, Fantasy, Suspense, Adult Cast, High Stakes Game, Psychological","Madhouse","Two men have just arrived at a location known as Quindecim and are unable to remember how they got there. They are immediately greeted by a young woman who escorts them to a small bar, where a bartender awaits them. They are told that they will have to participate in a game, randomly chosen by roulette, and will be unable to leave until its completion; if they refuse, the consequences will be dire. In addition to the rules of the game, the two men are told to play as if their lives are at stake.   The game that has been chosen is billiards. But there's more to it than just pocketing pool balls, as the two are about to find out the outcome could mean life or death.   [Written by MAL Rewrite]","#1052","#894"
"895","Higurashi no Naku Koro ni","Higurashi: When They Cry","https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni","https://cdn.myanimelist.net/r/50x70/images/anime/12/19634.jpg?s=1eab50fce5492ec08731702e32e6bac6","7.87","405175","26","Horror, Mystery, Suspense, Gore, Psychological","Studio Deen","Keiichi Maebara has just moved to the quiet little village of Hinamizawa in the summer of 1983, and quickly becomes inseparable friends with schoolmates Rena Ryuuguu, Mion Sonozaki, Satoko Houjou, and Rika Furude. However, darkness lurks underneath the seemingly idyllic life they lead.    As the village prepares for its annual festival, Keiichi learns about the local legends surrounding it. To his horror, he discovers that there have been several murders and disappearances in the village in the recent years, and that they all seem to be connected to the festival and the village's patron god, Oyashiro. Keiichi tries to ask his new friends about these incidents, but they are suspiciously silent and refuse to give him the answers he needs. As more and more bizarre events occur, he wonders just what else his friends might be keeping from him, and if he can even trust them at all.   When madness and paranoia begin taking root in Keiichi's heart, he will stumble straight into the mysteries at work in Higurashi no Naku Koro ni, a story that is told across multiple arcs.   [Written by MAL Rewrite]","#244","#895"
"896","InuYasha","","https://myanimelist.net/anime/249/InuYasha","https://cdn.myanimelist.net/r/50x70/images/anime/1589/95329.jpg?s=8254094634e2145d86d63438c0ab9205","7.87","403020","167","Action, Adventure, Fantasy, Romance, Historical, Love Polygon, Mythology, Time Travel, Shounen","Sunrise","Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power.    Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand.    Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands.   [Written by MAL Rewrite]","#246","#896"
"897","Boku no Hero Academia 4th Season","My Hero Academia Season 4","https://myanimelist.net/anime/38408/Boku_no_Hero_Academia_4th_Season","https://cdn.myanimelist.net/r/50x70/images/anime/1412/107914.jpg?s=26b333f52b5f693de7da30f666e6f622","7.86","1130326","25","Action, School, Super Power, Shounen","Bones","After successfully passing his Provisional Hero License exam, Izuku ""Deku"" Midoriya seeks out an extracurricular internship with a professional hero agency. At the recommendation of his mentor All Might, Midoriya lands a position under All Might's former sidekick, Sir Nighteye, now a famous hero in his own right.   As Midoriya's classmates further their own abilities through various internships, up-and-coming villain Kai Chisaki utilizes his terrifying powers to gather favor in the criminal underworld. Known by the moniker Overhaul, Chisaki's ambitions collide with the League of Villains and its leader, Tomura Shigaraki.   Through his work with Sir Nighteye, Midoriya discovers Chisaki's crime syndicate and the villain's hostile relationship with a mysterious young girl named Eri. Fearing for the child's safety, Midoriya and his upperclassman Mirio Toogata must work together to put an end to Chisaki's reign of terror.   [Written by MAL Rewrite]","#53","#897"
"898","Cool Doji Danshi","Play It Cool, Guys","https://myanimelist.net/anime/51680/Cool_Doji_Danshi","https://cdn.myanimelist.net/r/50x70/images/anime/1123/134677.jpg?s=4ba1773dc54f75b1e0f3ffad9517b021","7.86","30921","24","Slice of Life, Adult Cast, Iyashikei","Pierrot","Despite their distinctive personalities, Souma Shiki, Hayate Ichikura, Shun Futami, and Takayuki Mima all have one thing in common: though naturally clumsy, the four disguise their embarrassment from tiny slip-ups by maintaining a composed demeanor. However, it is actually the guys' airheaded natures that makes the girls' hearts throb. No matter what happens in their daily lives, the boys do their best not to lose their cool!   [Written by MAL Rewrite]","#2175","#898"
